time_s,force_N,accel_x_g,accel_y_g,accel_z_g
0.01386719,0.08913791,0.01545709,0.01471234,0.04209118
0.01396484,0.32232741,0.01486296,-0.01776442,0.03005378
0.01406250,-0.01871680,0.01534352,-0.01753086,0.00269980
0.01416016,-0.01043143,-0.01403376,-0.00321332,0.02238187
0.01425781,-0.13673980,0.01068413,-0.00661108,0.00400729
0.01435547,0.06786327,0.01067944,-0.00267311,0.05315367
0.01445313,-0.16704643,0.01178755,0.00370194,0.00215716
0.01455078,-0.14603965,-0.01527216,0.00398842,0.02133279
0.01464844,0.21195009,0.00563386,0.00353022,-0.01425315
0.01474609,-0.11581796,0.00805033,0.00563307,0.00733449
0.01484375,0.18220364,-0.00356899,0.00081750,-0.00402066
0.01494141,0.24865370,-0.01579300,0.02082399,-0.01378914
0.01503906,0.05889897,0.03373520,-0.01179295,0.01972371
0.01513672,0.10300871,0.01224601,-0.03135420,0.01411459
0.01523437,0.31283764,0.03993478,-0.00793012,0.00996754
0.01533203,-0.00950926,0.04077300,-0.00943507,-0.00251614
0.01542969,-0.06895087,0.00823380,-0.00966610,0.02270184
0.01552734,-0.18298466,0.00057969,0.00567132,0.01680363
0.01562500,0.02625606,0.02684872,0.00296674,-0.00084027
0.01572266,0.24187163,-0.02302572,0.01913011,-0.01124354
0.01582031,0.16393931,0.01475393,-0.00335597,-0.00264792
0.01591797,-0.12131369,0.04463879,0.00450585,0.01909324
0.01601562,-0.10830631,0.00106858,-0.00602277,0.00487726
0.01611328,-0.05562568,0.04855470,0.03027968,-0.00595493
0.01621094,0.06384021,-0.03078864,0.00940686,-0.01461516
0.01630859,-0.01079671,-0.04452639,0.03620476,0.02367284
0.01640625,0.05216809,-0.01231503,-0.00313971,0.00891569
0.01650391,0.06451091,0.00532949,-0.00564330,0.02456996
0.01660156,-0.02481604,-0.00601955,-0.01052554,0.02693157
0.01669922,0.01397391,-0.02625467,0.02264881,0.03738843
0.01679687,0.05098886,0.00414442,0.02730274,0.01158652
0.01689453,0.00740454,-0.02782361,-0.00538809,-0.02636729
0.01699219,0.09552813,0.01486192,0.00118756,0.03329194
0.01708984,0.30063137,-0.00062336,0.03174371,-0.01131470
0.01718750,0.10879584,0.01713233,-0.00462089,-0.01041826
0.01728516,0.02837158,0.01838403,0.07316096,0.01055319
